,method,s,N,k,iter,error,diff_max,time
229,WMI,20,1999,1,77,1.5785821891503182e-15,8.881784197001252e-16,3.4500000765547156e-05
230,ISM,20,1999,1,77,1.5786090522882035e-15,8.881784197001252e-16,2.6399997295811772e-05
231,DI,20,1999,1,78,1.2669572600062368e-15,8.881784197001252e-16,0.00017049998859874904
232,WMI,20,1999,1,78,1.5785821891503182e-15,8.881784197001252e-16,1.2599979527294636e-05
233,ISM,20,1999,1,78,1.5786090522882035e-15,8.881784197001252e-16,1.0299991117790341e-05
234,DI,20,1999,1,79,1.2669572600062368e-15,8.881784197001252e-16,0.00013830000534653664
235,WMI,20,1999,1,79,1.5785821891503182e-15,8.881784197001252e-16,3.470000228844583e-05
236,ISM,20,1999,1,79,1.5786090522882035e-15,8.881784197001252e-16,2.6699999580159783e-05
237,DI,20,1999,1,80,1.2669572600062368e-15,8.881784197001252e-16,0.00016639998648315668
238,WMI,20,1999,1,80,1.5785821891503182e-15,8.881784197001252e-16,1.2299977242946625e-05
239,ISM,20,1999,1,80,1.5786090522882035e-15,8.881784197001252e-16,9.69998654909432e-06
240,DI,20,1999,1,81,1.2669572600062368e-15,8.881784197001252e-16,0.00012890002108179033
241,WMI,20,1999,1,81,1.5785821891503182e-15,8.881784197001252e-16,1.8799997633323073e-05
242,ISM,20,1999,1,81,1.5786090522882035e-15,8.881784197001252e-16,1.5700003132224083e-05
243,DI,20,1999,1,82,1.2669572600062368e-15,8.881784197001252e-16,0.00013100000796839595
244,WMI,20,1999,1,82,1.5785821891503182e-15,8.881784197001252e-16,1.1800002539530396e-05
245,ISM,20,1999,1,82,1.5786090522882035e-15,8.881784197001252e-16,9.69998654909432e-06
246,DI,20,1999,1,83,1.2669572600062368e-15,8.881784197001252e-16,0.0001351000100839883
247,WMI,20,1999,1,83,1.5785821891503182e-15,8.881784197001252e-16,3.3499993151053786e-05
248,ISM,20,1999,1,83,1.5786090522882035e-15,8.881784197001252e-16,2.6399997295811772e-05
249,DI,20,1999,1,84,1.2669572600062368e-15,8.881784197001252e-16,0.00020340000628493726
250,WMI,20,1999,1,84,1.5785821891503182e-15,8.881784197001252e-16,6.009999196976423e-05
251,ISM,20,1999,1,84,1.5786090522882035e-15,8.881784197001252e-16,2.680000034160912e-05
252,DI,20,1999,1,85,1.2669572600062368e-15,8.881784197001252e-16,0.00011920000542886555
253,WMI,20,1999,1,85,1.5785821891503182e-15,8.881784197001252e-16,3.37999954354018e-05
254,ISM,20,1999,1,85,1.5786090522882035e-15,8.881784197001252e-16,2.649999805726111e-05
255,DI,20,1999,1,86,1.2669572600062368e-15,8.881784197001252e-16,0.00012010001228190958
256,WMI,20,1999,1,86,1.5785821891503182e-15,8.881784197001252e-16,1.500002690590918e-05
257,ISM,20,1999,1,86,1.5786090522882035e-15,8.881784197001252e-16,1.1199997970834374e-05
258,DI,20,1999,1,87,1.2669572600062368e-15,8.881784197001252e-16,0.0001616999797988683
259,WMI,20,1999,1,87,1.5785821891503182e-15,8.881784197001252e-16,1.2999982573091984e-05
260,ISM,20,1999,1,87,1.5786090522882035e-15,8.881784197001252e-16,1.0199990356341004e-05
261,DI,20,1999,1,88,1.2669572600062368e-15,8.881784197001252e-16,0.00028929999098181725
262,WMI,20,1999,1,88,1.5785821891503182e-15,8.881784197001252e-16,1.5300000086426735e-05
263,ISM,20,1999,1,88,1.5786090522882035e-15,8.881784197001252e-16,1.200000406242907e-05
264,DI,20,1999,1,89,1.2669572600062368e-15,8.881784197001252e-16,0.00012119999155402184
265,WMI,20,1999,1,89,1.5785821891503182e-15,8.881784197001252e-16,2.750000567175448e-05
266,ISM,20,1999,1,89,1.5786090522882035e-15,8.881784197001252e-16,2.0599982235580683e-05
267,DI,20,1999,1,90,1.2669572600062368e-15,8.881784197001252e-16,0.00014200000441633165
268,WMI,20,1999,1,90,1.5785821891503182e-15,8.881784197001252e-16,2.020000829361379e-05
269,ISM,20,1999,1,90,1.5786090522882035e-15,8.881784197001252e-16,1.7799990018829703e-05
270,DI,20,1999,1,91,1.2669572600062368e-15,8.881784197001252e-16,0.00012929999502375722
271,WMI,20,1999,1,91,1.5785821891503182e-15,8.881784197001252e-16,1.7999991541728377e-05
272,ISM,20,1999,1,91,1.5786090522882035e-15,8.881784197001252e-16,1.5099998563528061e-05
273,DI,20,1999,1,92,1.2669572600062368e-15,8.881784197001252e-16,0.00011510000331327319
274,WMI,20,1999,1,92,1.5785821891503182e-15,8.881784197001252e-16,1.7200014553964138e-05
275,ISM,20,1999,1,92,1.5786090522882035e-15,8.881784197001252e-16,1.4600023860111833e-05
276,DI,20,1999,1,93,1.2669572600062368e-15,8.881784197001252e-16,9.790001786313951e-05
277,WMI,20,1999,1,93,1.5785821891503182e-15,8.881784197001252e-16,1.7200014553964138e-05
278,ISM,20,1999,1,93,1.5786090522882035e-15,8.881784197001252e-16,1.4600023860111833e-05
279,DI,20,1999,1,94,1.2669572600062368e-15,8.881784197001252e-16,0.00010770000517368317
280,WMI,20,1999,1,94,1.5785821891503182e-15,8.881784197001252e-16,1.3399985618889332e-05
281,ISM,20,1999,1,94,1.5786090522882035e-15,8.881784197001252e-16,1.0799994925037026e-05
282,DI,20,1999,1,95,1.2669572600062368e-15,8.881784197001252e-16,9.610000415705144e-05
283,WMI,20,1999,1,95,1.5785821891503182e-15,8.881784197001252e-16,1.2499978765845299e-05
284,ISM,20,1999,1,95,1.5786090522882035e-15,8.881784197001252e-16,1.0099989594891667e-05
